gene_id,HBR_Rep1_ERCC-Mix2,HBR_Rep2_ERCC-Mix2,HBR_Rep3_ERCC-Mix2,UHR_Rep1_ERCC-Mix1,UHR_Rep2_ERCC-Mix1,UHR_Rep3_ERCC-Mix1
MSTRG.12,1,2,0,1,1,1
MSTRG.13,0,0,0,0,0,0
MSTRG.14,0,0,0,0,0,0
MSTRG.12|RPL23AP24,0,0,0,1,0,0
MSTRG.15,0,0,0,0,0,0
MSTRG.16,0,0,0,0,0,0
MSTRG.17|WBP1LP7,0,0,0,0,0,0
MSTRG.18|OR4F29,0,0,0,0,0,0
MSTRG.19|CICP7,0,0,0,0,0,0
MSTRG.20|U6,0,0,0,0,0,0
MSTRG.21|ATP6V1E1P1,1,4,3,0,2,2
ENSG00000293331,0,0,0,0,0,0
ENSG00000225880|LINC00115,0,0,0,0,0,0
ENSG00000235146,0,0,0,0,0,0
ENSG00000225972|MTND1P23,0,0,0,0,0,0
ENSG00000225630|MTND2P28,0,0,0,0,0,0
ENSG00000237973|MTCO1P12,0,0,0,0,0,0
ENSG00000278791,0,0,0,0,0,0
ENSG00000229344|MTCO2P12,0,0,0,0,0,0
ENSG00000240409|MTATP8P1,0,0,0,0,0,0
ENSG00000248527|MTATP6P1,0,0,0,0,0,0
ENSG00000198744|MTCO3P12,0,0,0,0,0,0
ENSG00000268663|WBP1LP6,0,0,0,0,0,0
ENSG00000284662|OR4F16,0,0,0,0,0,0
ENSG00000230021,0,0,0,0,0,0
ENSG00000229376|CICP3,0,0,0,0,0,0
ENSG00000223181|RNU6-1199P,0,0,0,0,0,0
ENSG00000229905,0,0,0,0,0,0
ENSG00000228327,0,0,0,0,0,0
ENSG00000237491|LINC01409,0,0,0,0,0,0
ENSG00000285268,0,0,0,0,0,0
ENSG00000230092,0,0,0,0,0,0
ENSG00000177757|FAM87B,0,0,0,0,0,0
ENSG00000228794|LINC01128,0,0,0,0,0,0
ENSG00000297178,0,0,0,0,0,0
ENSG00000297224,0,0,0,0,0,0
ENSG00000230368|FAM41C,0,0,0,0,0,0
ENSG00000234711|TUBB8P11,0,0,0,0,0,0
ENSG00000283040,0,0,0,0,0,0
ENSG00000228110|ST13P19,0,0,0,0,0,0
ENSG00000117724|CENPF,0,0,0,0,0,0
ENSG00000306569,0,0,0,0,0,0
ENSG00000250536|ABHD17AP3,0,0,0,0,0,0
ENSG00000224584|UBE2V1P13,0,0,0,0,0,0
MSTRG.23|FAM78B,0,0,0,0,0,0
MSTRG.24|FAM78B-AS1,0,0,0,0,0,0
MSTRG.25,0,0,0,0,0,0
MSTRG.26|MIR921,0,0,0,0,0,0
MSTRG.27,0,0,0,0,0,0
MSTRG.29,0,0,0,0,0,0
MSTRG.28,12,13,14,26,26,26
MSTRG.34|EIF3LP3,3,0,0,0,0,3
MSTRG.35|EIF3LP2,1,3,3,8,6,9
MSTRG.69,0,0,0,2,4,4
MSTRG.69|ATF4P4,2,0,0,1,1,1
MSTRG.64|PTS,0,0,0,0,0,0
MSTRG.65|RPS6P16,0,0,0,0,0,0
MSTRG.66|PLET1,0,0,0,0,0,0
MSTRG.67,0,0,0,0,0,0
MSTRG.68|ST13P10,2,0,0,0,0,0
MSTRG.53|SCART1,0,0,0,0,0,0
MSTRG.54|OR7M1P,0,0,0,0,0,0
MSTRG.55,0,0,0,0,0,0
MSTRG.56|CYP2E1,0,0,0,0,0,0
MSTRG.57,0,0,0,0,0,0
MSTRG.58|SYCE1,0,0,0,0,0,0
MSTRG.59,2,0,0,0,0,0
MSTRG.60|OR6L1P,0,0,0,0,0,0
MSTRG.61,0,0,0,0,0,0
MSTRG.62|FRG2B,0,0,0,0,0,0
ENSG00000110799|VWF,0,0,0,0,0,0
ENSG00000240533|RN7SL69P,0,0,0,0,0,0
MSTRG.94|HECTD4,0,0,0,0,0,0
MSTRG.94|MIR6861,0,0,0,0,0,0
MSTRG.95,0,0,0,0,0,0
MSTRG.97|RPL7AP60,0,0,0,0,0,0
MSTRG.98,0,0,0,0,0,0
MSTRG.96|RN7SKP71,3,5,0,3,0,7
MSTRG.73,0,0,0,0,0,0
MSTRG.74|RNU5A-7P,0,0,0,0,0,0
MSTRG.75|C12orf56,0,0,0,0,0,0
MSTRG.73|OOEPP2,0,0,0,0,0,0
MSTRG.77,0,0,0,0,0,0
MSTRG.78,0,0,0,0,0,0
MSTRG.79|XPOT,0,0,0,0,0,0
MSTRG.80,0,0,0,0,0,0
MSTRG.81,0,0,0,0,0,0
MSTRG.82|TBK1,0,0,0,0,0,0
MSTRG.82,0,0,0,0,0,0
MSTRG.82|RASSF3,0,0,0,0,0,0
MSTRG.83,0,0,0,0,0,0
MSTRG.84|SNORD83,0,0,0,0,0,0
MSTRG.85,0,0,0,0,0,0
MSTRG.86|RASSF3-DT,0,0,0,0,0,0
MSTRG.87|MIR548C,0,0,0,0,0,0
MSTRG.88|MIR548Z,0,0,0,0,0,0
MSTRG.89,0,0,0,0,0,0
MSTRG.90,0,0,0,0,0,0
MSTRG.91,0,0,0,0,0,0
MSTRG.92,0,0,0,0,0,0
