transcript_id,HBR_Rep1_ERCC-Mix2,HBR_Rep2_ERCC-Mix2,HBR_Rep3_ERCC-Mix2,UHR_Rep1_ERCC-Mix1,UHR_Rep2_ERCC-Mix1,UHR_Rep3_ERCC-Mix1
ENST00000442116,0,0,0,0,0,0
ENST00000448958,0,0,0,0,0,0
ENST00000820779,0,0,0,0,0,0
ENST00000441866,0,0,0,0,0,0
ENST00000820781,0,0,0,0,0,0
ENST00000820780,0,0,0,0,0,0
ENST00000634344,0,0,0,0,0,0
ENST00000820923,0,0,0,0,0,0
ENST00000424587,0,0,0,0,0,0
ENST00000784885,0,0,0,0,0,0
ENST00000784888,0,0,0,0,0,0
ENST00000784886,0,0,0,0,0,0
ENST00000784889,0,0,0,0,0,0
ENST00000784890,0,0,0,0,0,0
ENST00000669836,0,0,0,0,0,0
ENST00000784891,0,0,0,0,0,0
ENST00000784887,0,0,0,0,0,0
ENST00000784892,0,0,0,0,0,0
ENST00000784893,0,0,0,0,0,0
ENST00000458203,0,0,0,1,0,0
ENST00000796990,0,0,0,0,0,0
ENST00000796991,0,0,0,0,0,0
ENST00000797152,0,0,0,0,0,0
ENST00000797151,0,0,0,0,0,0
ENST00000450983,0,0,0,0,0,0
ENST00000412666,0,0,0,0,0,0
ENST00000635159,0,0,0,0,0,0
ENST00000440163,0,0,0,0,0,0
ENST00000431321,0,0,0,0,0,0
ENST00000453935,0,0,0,0,0,0
ENST00000455207,0,0,0,0,0,0
ENST00000437905,0,0,0,0,0,0
ENST00000426406,0,0,0,0,0,0
ENST00000796423,0,0,0,0,0,0
ENST00000455464,0,0,0,0,0,0
ENST00000796424,0,0,0,0,0,0
ENST00000601814,0,0,0,0,0,0
ENST00000445840,0,0,0,0,0,0
ENST00000431812,0,0,0,0,0,0
ENST00000432723,0,0,0,0,0,0
ENST00000514436,0,0,0,0,0,0
ENST00000419160,0,0,0,0,0,0
ENST00000440038,0,0,0,0,0,0
ENST00000642074,0,0,0,0,0,0
ENST00000423728,0,0,0,0,0,0
ENST00000616311,0,0,0,0,0,0
ENST00000599771,0,0,0,0,0,0
ENST00000641845,0,0,0,0,0,0
ENST00000641916,0,0,0,0,0,0
ENST00000601486,0,0,0,0,0,0
ENST00000641579,0,0,0,0,0,0
ENST00000616947,0,0,0,0,0,0
ENST00000432964,0,0,0,0,0,0
ENST00000608420,0,0,0,0,0,0
ENST00000641303,0,0,0,0,0,0
ENST00000641063,0,0,0,0,0,0
ENST00000641049,0,0,0,0,0,0
ENST00000642124,0,0,0,0,0,0
ENST00000614007,0,0,0,0,0,0
ENST00000796425,0,0,0,0,0,0
ENST00000450734,1,2,0,1,1,1
ENST00000439215,1,4,3,0,2,2
ENST00000781690,0,0,0,0,0,0
ENST00000634833,0,0,0,0,0,0
ENST00000417636,0,0,0,0,0,0
ENST00000781687,0,0,0,0,0,0
ENST00000419394,0,0,0,0,0,0
ENST00000781832,0,0,0,0,0,0
ENST00000423796,0,0,0,0,0,0
ENST00000450696,0,0,0,0,0,0
ENST00000781831,0,0,0,0,0,0
ENST00000781689,0,0,0,0,0,0
ENST00000781688,0,0,0,0,0,0
ENST00000440196,0,0,0,0,0,0
ENST00000641296,0,0,0,0,0,0
ENST00000357876,0,0,0,0,0,0
ENST00000635509,0,0,0,0,0,0
ENST00000634337,0,0,0,0,0,0
ENST00000648019,0,0,0,0,0,0
ENST00000781686,0,0,0,0,0,0
ENST00000440200,0,0,0,0,0,0
ENST00000452176,0,0,0,0,0,0
ENST00000416931,0,0,0,0,0,0
ENST00000457540,0,0,0,0,0,0
ENST00000414273,0,0,0,0,0,0
ENST00000621981,0,0,0,0,0,0
ENST00000427426,0,0,0,0,0,0
ENST00000467115,0,0,0,0,0,0
ENST00000514057,0,0,0,0,0,0
ENST00000416718,0,0,0,0,0,0
ENST00000438434,0,0,0,0,0,0
ENST00000332831,0,0,0,0,0,0
ENST00000743860,0,0,0,0,0,0
ENST00000441245,0,0,0,0,0,0
ENST00000743821,0,0,0,0,0,0
ENST00000743822,0,0,0,0,0,0
ENST00000745228,0,0,0,0,0,0
ENST00000745227,0,0,0,0,0,0
